User ID,Total Logs,Chat Logs,Image Logs,Total Chat Tokens,Total Image Tokens,Earliest Log,Latest Log
110103209684660457,1,0,1,0,0unknown,2023-04-01 15:57:43,2023-04-01 15:57:43
110099629151766466,1,1,0,NaN,0,2023-04-01 16:59:57,2023-04-01 16:59:57
110099629151766466,1,1,0,NaN,0,2023-04-01 17:03:13,2023-04-01 17:03:13
110099629151766466,1,1,0,NaN,0,2023-04-03 17:00:02,2023-04-03 17:00:02
110099629151766466,1,1,0,NaN,0,2023-04-03 18:00:50,2023-04-03 18:00:50
110103209684660457,3,3,0,NaN,0,2023-04-04 17:00:25,2023-04-04 17:07:32
110099629151766466,2,0,2,0,0unknownunknown,2023-04-06 16:19:24,2023-04-06 16:29:11
